financial_year,report_year,group_name,previous_usd_mn,current_usd_mn,growth_pct,share_pct,report_month
2012-2013,2013,PLASTIC & RUBBER ARTICLES,6189.73,6178.95,-0.17,2.06,March
2012-2013,2013,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,2962.34,3176.73,7.24,1.06,March
2012-2013,2013,PAPER & RELATED PRODUCTS,1783.41,1935.81,8.55,0.64,March
2012-2013,2013,BASE METALS,21218.9,21455.99,1.12,7.14,March
2012-2013,2013,OPTICAL, MEDICAL & SURGICAL INSTRUMENTS,1380.55,1518.6,10,0.51,March
2012-2013,2013,ELECTORONICS ITEMS,9075.55,8253.02,-9.06,2.75,March
2012-2013,2013,MACHINERY,16017.66,16408.46,2.44,5.46,March
2012-2013,2013,OFFICE EQUIPMENTS,60.5,51.9,-14.21,0.02,March
2012-2013,2013,TRANSPORT EQUIPMENTS,20932.45,19242.04,-8.08,6.41,March
2012-2013,2013,PROJECT GOODS,83.23,145.97,75.38,0.05,March
2012-2013,2013,TEXTILES & ALLIED PRODUCTS,34136.64,32885.46,-3.67,10.95,March
2012-2013,2013,PETROLEUM CRUDE & PRODUCTS,56716.72,60859.81,7.3,20.26,March
2012-2013,2013,OTHERS,17211.61,9651.57,-43.92,3.21,March
2013-2014,2014,PLANTATION,1840.71,1625.05,-11.72,0.52,March
2013-2014,2014,AGRI & ALLIED PRODUCTS,32655.55,32953.58,0.91,10.48,March
2013-2014,2014,MARINE PRODUCTS,3464.08,5016.46,44.81,1.6,March
2013-2014,2014,ORES & MINERALS,3681.36,3583.86,-2.65,1.14,March
2013-2014,2014,LEATHER & LEATHER MANUFACTURES,4883.92,5722.54,17.17,1.82,March
2013-2014,2014,GEMS & JEWELLERY,42988.49,41389.07,-3.72,13.16,March
2013-2014,2014,SPORTS GOODS,206.62,236.45,14.44,0.08,March
2013-2014,2014,CHEMICALS & RELATED PRODUCTS,28915.55,30793.62,6.5,9.79,March
2013-2014,2014,PLASTIC & RUBBER ARTICLES,6178.95,6860.02,11.02,2.18,March
2013-2014,2014,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,3176.73,3600.58,13.34,1.15,March
2013-2014,2014,PAPER & RELATED PRODUCTS,1935.81,2099.81,8.47,0.67,March
2013-2014,2014,BASE METALS,21455.99,22365.63,4.24,7.11,March
2013-2014,2014,OPTICAL, MEDICAL & SURGICAL INSTRUMENTS,1518.6,1562.96,2.92,0.5,March
2013-2014,2014,ELECTORONICS ITEMS,8253.02,7842.8,-4.97,2.49,March
2013-2014,2014,MACHINERY,16408.46,17361.42,5.81,5.52,March
2013-2014,2014,OFFICE EQUIPMENTS,51.9,30.89,-40.49,0.01,March
2013-2014,2014,TRANSPORT EQUIPMENTS,19242.04,22164.67,15.19,7.05,March
2013-2014,2014,PROJECT GOODS,145.97,47.35,-67.56,0.02,March
2013-2014,2014,TEXTILES & ALLIED PRODUCTS,32885.46,36967.56,12.41,11.76,March
2013-2014,2014,PETROLEUM CRUDE & PRODUCTS,60859.81,63177.46,3.81,20.09,March
2013-2014,2014,OTHERS,9651.57,9003.52,-6.71,2.86,March
2014-2015,2015,PLANTATION,1625.05,1502.88,-7.52,0.48,March
2014-2015,2015,AGRI & ALLIED PRODUCTS,32953.58,30147.31,-8.52,9.71,March
2014-2015,2015,MARINE PRODUCTS,5016.46,5510.49,9.85,1.78,March
2014-2015,2015,ORES & MINERALS,3583.86,2410.19,-32.75,0.78,March
2014-2015,2015,LEATHER & LEATHER MANUFACTURES,5722.54,6195.21,8.26,2,March
2014-2015,2015,GEMS & JEWELLERY,41389.07,41266.07,-0.3,13.3,March
2014-2015,2015,SPORTS GOODS,236.45,274.5,16.09,0.09,March
2014-2015,2015,CHEMICALS & RELATED PRODUCTS,30793.62,31731.23,3.04,10.22,March
2014-2015,2015,PLASTIC & RUBBER ARTICLES,6860.02,6615.17,-3.57,2.13,March
2014-2015,2015,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,3600.58,4042.51,12.27,1.3,March
2014-2015,2015,PAPER & RELATED PRODUCTS,2099.81,2180.67,3.85,0.7,March
2014-2015,2015,BASE METALS,22365.63,24742.75,10.63,7.97,March
2014-2015,2015,OPTICAL, MEDICAL & SURGICAL INSTRUMENTS,1562.96,1686.34,7.89,0.54,March
2014-2015,2015,ELECTORONICS ITEMS,7842.8,6260.73,-20.17,2.02,March
2014-2015,2015,MACHINERY,17361.42,19453.69,12.05,6.27,March
2014-2015,2015,OFFICE EQUIPMENTS,30.89,54.77,77.31,0.02,March
2014-2015,2015,TRANSPORT EQUIPMENTS,22164.67,26636.37,20.17,8.58,March
2014-2015,2015,PROJECT GOODS,47.35,36.59,-22.73,0.01,March
2014-2015,2015,TEXTILES & ALLIED PRODUCTS,36967.56,37140.74,0.47,11.97,March
2014-2015,2015,PETROLEUM CRUDE & PRODUCTS,63177.46,56794.15,-10.1,18.3,March
2014-2015,2015,OTHERS,9003.52,5656.13,-37.18,1.82,March
2015-2016,2016,PLANTATION,1502.88,1562.44,3.96,0.6,March
2015-2016,2016,AGRI & ALLIED PRODUCTS,30147.31,24522.02,-18.66,9.35,March
2015-2016,2016,MARINE PRODUCTS,5510.49,4767.51,-13.48,1.82,March
2015-2016,2016,ORES & MINERALS,2410.19,2014.92,-16.4,0.77,March
2015-2016,2016,LEATHER & LEATHER MANUFACTURES,6195.21,5554.46,-10.34,2.12,March
2015-2016,2016,GEMS & JEWELLERY,41266.07,39284.27,-4.8,14.98,March
2015-2016,2016,SPORTS GOODS,274.5,227.72,-17.04,0.09,March
2015-2016,2016,CHEMICALS & RELATED PRODUCTS,31731.23,32164.51,1.37,12.26,March
2015-2016,2016,PLASTIC & RUBBER ARTICLES,6615.17,6420.06,-2.95,2.45,March
2015-2016,2016,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,4042.51,3880.25,-4.01,1.48,March
2015-2016,2016,PAPER & RELATED PRODUCTS,2180.67,2347.88,7.67,0.9,March
2015-2016,2016,BASE METALS,24742.75,18504.98,-25.21,7.06,March
2015-2016,2016,OPTICAL, MEDICAL & SURGICAL INSTRUMENTS,1686.34,1640.46,-2.72,0.63,March
2015-2016,2016,ELECTORONICS ITEMS,6260.73,5959.52,-4.81,2.27,March
2015-2016,2016,MACHINERY,19453.69,18945.72,-2.61,7.22,March
2015-2016,2016,OFFICE EQUIPMENTS,54.77,89.5,63.41,0.03,March
2015-2016,2016,TRANSPORT EQUIPMENTS,26636.37,22463.7,-15.67,8.56,March
2015-2016,2016,PROJECT GOODS,36.59,29.01,-20.71,0.01,March
2015-2016,2016,TEXTILES & ALLIED PRODUCTS,37140.74,35953.31,-3.2,13.71,March
2015-2016,2016,PETROLEUM CRUDE & PRODUCTS,56794.15,30582.64,-46.15,11.66,March
2015-2016,2016,OTHERS,5656.13,5376.2,-4.95,2.05,March
2016-2017,2017,PLANTATION,1562.44,1611.74,3.16,0.58,March
2016-2017,2017,AGRI & ALLIED PRODUCTS,24522.02,24549.19,0.11,8.9,March
2016-2017,2017,MARINE PRODUCTS,4767.51,5903.06,23.82,2.14,March
2016-2017,2017,ORES & MINERALS,2014.92,3255.61,61.58,1.18,March
2016-2017,2017,LEATHER & LEATHER MANUFACTURES,5554.46,5308.3,-4.43,1.92,March
2016-2017,2017,GEMS & JEWELLERY,39284.27,43412.76,10.51,15.74,March
2016-2017,2017,SPORTS GOODS,227.72,224.83,-1.27,0.08,March
2016-2017,2017,CHEMICALS & RELATED PRODUCTS,32164.51,32779.3,1.91,11.88,March
2016-2017,2017,PLASTIC & RUBBER ARTICLES,6420.06,6438.38,0.29,2.33,March
2016-2017,2017,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,3880.25,4087.58,5.34,1.48,March
2016-2017,2017,PAPER & RELATED PRODUCTS,2347.88,2335.18,-0.54,0.85,March
2016-2017,2017,BASE METALS,18504.98,21890.32,18.29,7.94,March
2016-2017,2017,OPTICAL, MEDICAL & SURGICAL INSTRUMENTS,1640.46,1889.58,15.19,0.68,March
2016-2017,2017,ELECTORONICS ITEMS,5959.52,5962.93,0.06,2.16,March
2016-2017,2017,MACHINERY,18945.72,19877.99,4.92,7.21,March
2016-2017,2017,OFFICE EQUIPMENTS,89.5,117.92,31.75,0.04,March
2016-2017,2017,TRANSPORT EQUIPMENTS,22463.7,23163.13,3.11,8.4,March
2016-2017,2017,PROJECT GOODS,29.01,28.74,-0.93,0.01,March
2016-2017,2017,TEXTILES & ALLIED PRODUCTS,35953.31,35766.63,-0.52,12.97,March
2016-2017,2017,PETROLEUM CRUDE & PRODUCTS,30582.64,31545.26,3.15,11.44,March
2016-2017,2017,OTHERS,5376.2,5704.01,6.1,2.07,March
2017-2018,2018,PLANTATION,1611.74,1819.82,12.91,0.6,March
2017-2018,2018,AGRI & ALLIED PRODUCTS,24549.19,27778.34,13.15,9.15,March
2017-2018,2018,MARINE PRODUCTS,5903.06,7389.22,25.18,2.43,March
2017-2018,2018,ORES & MINERALS,3255.61,3305.28,1.53,1.09,March
2017-2018,2018,LEATHER & LEATHER MANUFACTURES,5308.3,5445.4,2.58,1.79,March
2017-2018,2018,GEMS & JEWELLERY,43412.76,41544.44,-4.3,13.69,March
2017-2018,2018,SPORTS GOODS,224.83,232.8,3.55,0.08,March
2017-2018,2018,CHEMICALS & RELATED PRODUCTS,32779.3,37559.55,14.58,12.37,March
2017-2018,2018,PLASTIC & RUBBER ARTICLES,6438.38,7572.68,17.62,2.49,March
2017-2018,2018,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,4087.58,4520.73,10.6,1.49,March
2017-2018,2018,PAPER & RELATED PRODUCTS,2335.18,2650.53,13.5,0.87,March
2017-2018,2018,BASE METALS,21890.32,28211.07,28.87,9.29,March
2017-2018,2018,OPTICAL, MEDICAL & SURGICAL INSTRUMENTS,1889.58,2273.41,20.31,0.75,March
2017-2018,2018,ELECTORONICS ITEMS,5962.93,6393.12,7.21,2.11,March
2017-2018,2018,MACHINERY,19877.99,24311.37,22.3,8.01,March
2017-2018,2018,OFFICE EQUIPMENTS,117.92,78.6,-33.34,0.03,March
2017-2018,2018,TRANSPORT EQUIPMENTS,23163.13,23481.41,1.37,7.74,March
2017-2018,2018,PROJECT GOODS,28.74,21.95,-23.62,0.01,March
2017-2018,2018,TEXTILES & ALLIED PRODUCTS,35766.63,36048.78,0.79,11.88,March
2017-2018,2018,PETROLEUM CRUDE & PRODUCTS,31545.26,37465.08,18.77,12.34,March
2017-2018,2018,OTHERS,5704.01,5422.56,-4.93,1.79,March
2018-2019,2019,PLANTATION,1819.82,1664.29,-8.55,0.5,March
2018-2019,2019,AGRI & ALLIED PRODUCTS,27778.34,28615.65,3.01,8.67,March
2018-2019,2019,MARINE PRODUCTS,7389.22,6802.56,-7.94,2.06,March
2018-2019,2019,ORES & MINERALS,3305.28,3597.86,8.85,1.09,March
2018-2019,2019,LEATHER & LEATHER MANUFACTURES,5445.4,5300.46,-2.66,1.61,March
2018-2019,2019,GEMS & JEWELLERY,41544.44,40251.03,-3.11,12.19,March
2018-2019,2019,SPORTS GOODS,232.8,313.6,34.7,0.1,March
2018-2019,2019,CHEMICALS & RELATED PRODUCTS,37559.55,43761.32,16.51,13.26,March
2018-2019,2019,PLASTIC & RUBBER ARTICLES,7572.68,9439.68,24.65,2.86,March
2018-2019,2019,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,4520.73,5116.52,13.18,1.55,March
2018-2019,2019,PAPER & RELATED PRODUCTS,2650.53,3492.41,31.76,1.06,March
2018-2019,2019,BASE METALS,28211.07,25430.71,-9.86,7.7,March
2018-2019,2019,OPTICAL, MEDICAL & SURGICAL INSTRUMENTS,2273.41,2323.96,2.22,0.7,March
2018-2019,2019,ELECTORONICS ITEMS,6393.12,8829.43,38.11,2.67,March
2018-2019,2019,MACHINERY,24311.37,28658.05,17.88,8.68,March
2018-2019,2019,OFFICE EQUIPMENTS,78.6,144.23,83.49,0.04,March
2018-2019,2019,TRANSPORT EQUIPMENTS,23481.41,26635.04,13.43,8.07,March
2018-2019,2019,PROJECT GOODS,21.95,16.15,-26.45,0,March
2018-2019,2019,TEXTILES & ALLIED PRODUCTS,36048.78,36886,2.32,11.17,March
2018-2019,2019,PETROLEUM CRUDE & PRODUCTS,37465.08,46553.58,24.26,14.1,March
2018-2019,2019,OTHERS,5422.56,6245.57,15.18,1.89,March
2019-2020,2020,PLANTATION,1664.29,1587.1,-4.64,0.51,March
2019-2020,2020,AGRI & ALLIED PRODUCTS,28615.65,26219.12,-8.37,8.37,March
2019-2020,2020,MARINE PRODUCTS,6802.56,6722.07,-1.18,2.15,March
2019-2020,2020,ORES & MINERALS,3597.86,4600.12,27.86,1.47,March
2019-2020,2020,LEATHER & LEATHER MANUFACTURES,5300.46,4810.29,-9.25,1.54,March
2019-2020,2020,GEMS & JEWELLERY,40251.03,35898.49,-10.81,11.46,March
2019-2020,2020,SPORTS GOODS,313.6,278.89,-11.07,0.09,March
2019-2020,2020,CHEMICALS & RELATED PRODUCTS,43761.32,45022.14,2.88,14.37,March
2019-2020,2020,PLASTIC & RUBBER ARTICLES,9439.68,8240.6,-12.7,2.63,March
2019-2020,2020,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,5116.52,5273.74,3.07,1.68,March
2019-2020,2020,PAPER & RELATED PRODUCTS,3492.41,3374.9,-3.36,1.08,March
2019-2020,2020,BASE METALS,25430.71,23910.2,-5.98,7.63,March
2019-2020,2020,OPTICAL, MEDICAL & SURGICAL INSTRUMENTS,2323.96,2366.49,1.83,0.76,March
2019-2020,2020,ELECTORONICS ITEMS,8829.43,11700.58,32.52,3.73,March
2019-2020,2020,MACHINERY,28658.05,28103.96,-1.93,8.97,March
2019-2020,2020,OFFICE EQUIPMENTS,144.23,191.51,32.78,0.06,March
2019-2020,2020,TRANSPORT EQUIPMENTS,26635.04,23721.64,-10.94,7.57,March
2019-2020,2020,PROJECT GOODS,16.15,30.57,89.32,0.01,March
2019-2020,2020,TEXTILES & ALLIED PRODUCTS,36886,33719.3,-8.59,10.76,March
2019-2020,2020,PETROLEUM CRUDE & PRODUCTS,46553.58,41288.74,-11.31,13.18,March
2019-2020,2020,OTHERS,6245.57,6300.6,0.88,2.01,March
2020-2021,2021,PLANTATION,1587.1,1492.6,-5.95,0.51,March
2020-2021,2021,AGRI & ALLIED PRODUCTS,26219.12,32517.17,24.02,11.14,March
2020-2021,2021,MARINE PRODUCTS,6722.07,5962.39,-11.3,2.04,March
2020-2021,2021,ORES & MINERALS,4600.12,7041.21,53.07,2.41,March
2020-2021,2021,LEATHER & LEATHER MANUFACTURES,4810.29,3488.2,-27.48,1.2,March
2020-2021,2021,GEMS & JEWELLERY,35898.49,26022.82,-27.51,8.92,March
2020-2021,2021,SPORTS GOODS,278.89,268.56,-3.7,0.09,March
2020-2021,2021,CHEMICALS & RELATED PRODUCTS,45022.14,48262.27,7.2,16.54,March
2020-2021,2021,PLASTIC & RUBBER ARTICLES,8240.6,8062.51,-2.16,2.76,March
2020-2021,2021,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,5273.74,5662.1,7.36,1.94,March
2020-2021,2021,PAPER & RELATED PRODUCTS,3374.9,3412.93,1.13,1.17,March
2020-2021,2021,BASE METALS,23910.2,27655.48,15.66,9.48,March
2020-2021,2021,OPTICAL, MEDICAL & SURGICAL INSTRUMENTS,2366.49,2225.41,-5.96,0.76,March
2020-2021,2021,ELECTORONICS ITEMS,11700.58,11093.29,-5.19,3.8,March
2020-2021,2021,MACHINERY,28103.96,25993.91,-7.51,8.91,March
2020-2021,2021,OFFICE EQUIPMENTS,191.51,151.1,-21.1,0.05,March
2020-2021,2021,TRANSPORT EQUIPMENTS,23721.64,20265.79,-14.57,6.94,March
2020-2021,2021,PROJECT GOODS,30.57,2.27,-92.57,0,March
2020-2021,2021,TEXTILES & ALLIED PRODUCTS,33719.3,30354.03,-9.98,10.4,March
2020-2021,2021,PETROLEUM CRUDE & PRODUCTS,41288.74,25804.37,-37.5,8.84,March
2020-2021,2021,OTHERS,6300.6,6070.07,-3.66,2.08,March
2021-2022,2022,PLANTATION,1492.6,1779.04,19.19,0.42,March
2021-2022,2022,AGRI & ALLIED PRODUCTS,32517.17,37841.09,16.37,8.97,March
2021-2022,2022,MARINE PRODUCTS,5962.39,7772.36,30.36,1.84,March
2021-2022,2022,ORES & MINERALS,7041.21,6085.42,-13.57,1.44,March
2021-2022,2022,LEATHER & LEATHER MANUFACTURES,3488.2,4658.53,33.55,1.1,March
2021-2022,2022,GEMS & JEWELLERY,26022.82,39099.11,50.25,9.27,March
