financial_year,report_year,group_name,previous_usd_mn,current_usd_mn,growth_pct,share_pct,report_month
2023-2024,2024,SPORTS GOODS,374.47,370.57,-1.04,0.08,March
2023-2024,2024,CHEMICALS & RELATED PRODUCTS,57427.28,58563.96,1.98,13.4,March
2023-2024,2024,PLASTIC & RUBBER ARTICLES,9336.19,8944.24,-4.2,2.05,March
2023-2024,2024,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,6358.13,6772.27,6.51,1.55,March
2023-2024,2024,PAPER & RELATED PRODUCTS,4815.09,4555.47,-5.39,1.04,March
2023-2024,2024,BASE METALS,36675.36,34398.88,-6.21,7.87,March
2023-2024,2024,OPTICAL, MEDICAL & SURGICAL INSTRUMENTS,3732.16,3860.04,3.43,0.88,March
2023-2024,2024,ELECTORONICS ITEMS,23553.35,29122.88,23.65,6.66,March
2023-2024,2024,MACHINERY,38162.11,40877.33,7.11,9.35,March
2023-2024,2024,OFFICE EQUIPMENTS,297.55,312.92,5.17,0.07,March
2023-2024,2024,TRANSPORT EQUIPMENTS,27981.84,29600.5,5.78,6.77,March
2023-2024,2024,PROJECT GOODS,2,2.61,30.45,0,March
2023-2024,2024,TEXTILES & ALLIED PRODUCTS,35359.4,34431.84,-2.62,7.88,March
2023-2024,2024,PETROLEUM CRUDE & PRODUCTS,97468.45,84156.72,-13.66,19.25,March
2023-2024,2024,OTHERS,9376.44,9550.09,1.85,2.19,March
2024-2025,2025,PLANTATION,2119,2738.3,29.23,0.63,March
2024-2025,2025,AGRI & ALLIED PRODUCTS,38197,40978.9,7.28,9.36,March
2024-2025,2025,MARINE PRODUCTS,7372,7405,0.45,1.69,March
2024-2025,2025,ORES & MINERALS,6688.94,5328.13,-20.34,1.22,March
2024-2025,2025,LEATHER & LEATHER MANUFACTURES,4467.85,4577.43,2.45,1.05,March
2024-2025,2025,GEMS & JEWELLERY,32706.94,29818.2,-8.83,6.81,March
2024-2025,2025,SPORTS GOODS,370.57,400.13,7.98,0.09,March
2024-2025,2025,CHEMICALS & RELATED PRODUCTS,58563.96,60882.01,3.96,13.91,March
2024-2025,2025,PLASTIC & RUBBER ARTICLES,8944.24,9790.56,9.46,2.24,March
2024-2025,2025,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,6772.27,6501.4,-4,1.49,March
2024-2025,2025,PAPER & RELATED PRODUCTS,4555.47,4545.01,-0.23,1.04,March
2024-2025,2025,BASE METALS,34398.88,31314.35,-8.97,7.15,March
2024-2025,2025,OPTICAL, MEDICAL & SURGICAL INSTRUMENTS,3860.04,4212.65,9.13,0.96,March
2024-2025,2025,ELECTORONICS ITEMS,29122.88,38556.49,32.39,8.81,March
2024-2025,2025,MACHINERY,40877.33,44936.43,9.93,10.27,March
2024-2025,2025,OFFICE EQUIPMENTS,312.92,288,-7.96,0.07,March
2024-2025,2025,TRANSPORT EQUIPMENTS,29600.5,35497.95,19.92,8.11,March
2024-2025,2025,PROJECT GOODS,2.61,3.17,21.67,0,March
2024-2025,2025,TEXTILES & ALLIED PRODUCTS,34431.84,36442.73,5.84,8.33,March
2024-2025,2025,PETROLEUM CRUDE & PRODUCTS,84156.72,63383.44,-24.68,14.48,March
2024-2025,2025,OTHERS,9550.09,10104.28,5.8,2.31,March
2025-2026,2026,PLANTATION,2738.3,3076.68,12.36,0.7,March
2025-2026,2026,AGRI & ALLIED PRODUCTS,40978.9,41043.48,0.16,9.29,March
2025-2026,2026,MARINE PRODUCTS,7405,8431.33,13.86,1.91,March
2025-2026,2026,ORES & MINERALS,5328.13,5519.57,3.59,1.25,March
2025-2026,2026,LEATHER & LEATHER MANUFACTURES,4577.43,4489.58,-1.92,1.02,March
2025-2026,2026,GEMS & JEWELLERY,29818.2,28208.27,-5.4,6.39,March
2025-2026,2026,SPORTS GOODS,400.13,398.6,-0.38,0.09,March
2025-2026,2026,CHEMICALS & RELATED PRODUCTS,60882.01,61634.61,1.24,13.95,March
2025-2026,2026,PLASTIC & RUBBER ARTICLES,9790.56,9217.91,-5.85,2.09,March
2025-2026,2026,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,6501.4,6420.63,-1.24,1.45,March
2025-2026,2026,PAPER & RELATED PRODUCTS,4545.01,4474.1,-1.56,1.01,March
2025-2026,2026,BASE METALS,31314.35,34869.4,11.35,7.89,March
2025-2026,2026,OPTICAL, MEDICAL & SURGICAL INSTRUMENTS,4212.65,4421.02,4.95,1,March
2025-2026,2026,ELECTORONICS ITEMS,38556.49,47962.3,24.39,10.86,March
2025-2026,2026,MACHINERY,44936.43,48848.9,8.71,11.06,March
2025-2026,2026,OFFICE EQUIPMENTS,288,394.76,37.07,0.09,March
2025-2026,2026,TRANSPORT EQUIPMENTS,35497.95,33589.33,-5.38,7.6,March
2025-2026,2026,PROJECT GOODS,3.17,1.78,-43.78,0,March
2025-2026,2026,TEXTILES & ALLIED PRODUCTS,36442.73,35718.75,-1.99,8.09,March
2025-2026,2026,PETROLEUM CRUDE & PRODUCTS,63383.44,53828.12,-15.08,12.19,March
2025-2026,2026,OTHERS,10104.28,9180.98,-9.14,2.08,March
