financial_year,report_year,group_name,previous_usd_mn,current_usd_mn,growth_pct,share_pct,report_month
2023-2024,2024,LEATHER & LEATHER MANUFACTURES,1064.93,936.68,-12.04,0.14,March
2023-2024,2024,GEMS & JEWELLERY,73902.05,78441.91,6.14,11.57,March
2023-2024,2024,SPORTS GOODS,331,389.52,17.68,0.06,March
2023-2024,2024,CHEMICALS & RELATED PRODUCTS,73734.75,61863.92,-16.1,9.12,March
2023-2024,2024,PLASTIC & RUBBER ARTICLES,26958.44,25415.7,-5.72,3.75,March
2023-2024,2024,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,3621.71,3706.21,2.33,0.55,March
2023-2024,2024,PAPER & RELATED PRODUCTS,10242.02,9007.81,-12.05,1.33,March
2023-2024,2024,BASE METALS,42323.42,45162.35,6.71,6.66,March
2023-2024,2024,OPTICAL, MEDICAL & SURGICAL INSTRUMENTS,7901.88,8853.22,12.04,1.31,March
2023-2024,2024,ELECTORONICS ITEMS,77263.53,87856.99,13.71,12.95,March
2023-2024,2024,MACHINERY,51786.75,56319.6,8.75,8.3,March
2023-2024,2024,OFFICE EQUIPMENTS,77.58,80.96,4.36,0.01,March
2023-2024,2024,TRANSPORT EQUIPMENTS,26329.23,25175.91,-4.38,3.71,March
2023-2024,2024,PROJECT GOODS,1602.92,1321.4,-17.56,0.19,March
2023-2024,2024,TEXTILES & ALLIED PRODUCTS,9906.75,8104.57,-18.19,1.19,March
2023-2024,2024,PETROLEUM CRUDE & PRODUCTS,209418.17,178732.7,-14.65,26.35,March
2023-2024,2024,OTHERS,6739.5,6857.1,1.74,1.01,March
2024-2025,2025,PLANTATION,1000.83,1457.77,45.66,0.2,March
2024-2025,2025,AGRI & ALLIED PRODUCTS,30557.41,35151.78,15.04,4.87,March
2024-2025,2025,MARINE PRODUCTS,251.42,309.05,22.92,0.04,March
2024-2025,2025,ORES & MINERALS,48178.57,42079.02,-12.66,5.83,March
2024-2025,2025,LEATHER & LEATHER MANUFACTURES,936.68,1016.75,8.55,0.14,March
2024-2025,2025,GEMS & JEWELLERY,78441.91,88942.8,13.39,12.33,March
2024-2025,2025,SPORTS GOODS,389.52,413.23,6.09,0.06,March
2024-2025,2025,CHEMICALS & RELATED PRODUCTS,61863.92,63223.55,2.2,8.77,March
2024-2025,2025,PLASTIC & RUBBER ARTICLES,25415.7,26125.14,2.79,3.62,March
2024-2025,2025,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,3706.21,4135.9,11.59,0.57,March
2024-2025,2025,PAPER & RELATED PRODUCTS,9007.81,9628.83,6.89,1.34,March
2024-2025,2025,BASE METALS,45162.35,47425.23,5.01,6.58,March
2024-2025,2025,OPTICAL, MEDICAL & SURGICAL INSTRUMENTS,8853.22,9662.25,9.14,1.34,March
2024-2025,2025,ELECTORONICS ITEMS,87856.99,98650.56,12.29,13.68,March
2024-2025,2025,MACHINERY,56319.6,62044,10.16,8.6,March
2024-2025,2025,OFFICE EQUIPMENTS,80.96,73.86,-8.77,0.01,March
2024-2025,2025,TRANSPORT EQUIPMENTS,25175.91,27793.27,10.4,3.85,March
2024-2025,2025,PROJECT GOODS,1321.4,1077.58,-18.45,0.15,March
2024-2025,2025,TEXTILES & ALLIED PRODUCTS,8104.57,8860.46,9.33,1.23,March
2024-2025,2025,PETROLEUM CRUDE & PRODUCTS,178732.7,185779.29,3.94,25.76,March
2024-2025,2025,OTHERS,6857.1,7349.9,7.19,1.02,March
2025-2026,2026,PLANTATION,1457.77,1324.99,-9.11,0.17,March
2025-2026,2026,AGRI & ALLIED PRODUCTS,35151.78,36398.93,3.55,4.7,March
2025-2026,2026,MARINE PRODUCTS,309.05,363.42,17.59,0.05,March
2025-2026,2026,ORES & MINERALS,42079.02,42343.55,0.63,5.46,March
2025-2026,2026,LEATHER & LEATHER MANUFACTURES,1016.75,966.08,-4.98,0.12,March
2025-2026,2026,GEMS & JEWELLERY,88942.8,109392.94,22.99,14.12,March
2025-2026,2026,SPORTS GOODS,413.23,503.25,21.79,0.06,March
2025-2026,2026,CHEMICALS & RELATED PRODUCTS,63223.55,72687.97,14.97,9.38,March
2025-2026,2026,PLASTIC & RUBBER ARTICLES,26125.14,26799.55,2.58,3.46,March
2025-2026,2026,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,4135.9,5158.94,24.74,0.67,March
2025-2026,2026,PAPER & RELATED PRODUCTS,9628.83,9291.75,-3.5,1.2,March
2025-2026,2026,BASE METALS,47425.23,50345.43,6.16,6.5,March
2025-2026,2026,OPTICAL, MEDICAL & SURGICAL INSTRUMENTS,9662.25,10903.81,12.85,1.41,March
2025-2026,2026,ELECTORONICS ITEMS,98650.56,116176.21,17.77,14.99,March
2025-2026,2026,MACHINERY,62044,71381.89,15.05,9.21,March
2025-2026,2026,OFFICE EQUIPMENTS,73.86,62.12,-15.9,0.01,March
2025-2026,2026,TRANSPORT EQUIPMENTS,27793.27,27716.62,-0.28,3.58,March
2025-2026,2026,PROJECT GOODS,1077.58,1060.24,-1.61,0.14,March
2025-2026,2026,TEXTILES & ALLIED PRODUCTS,8860.46,10416.15,17.56,1.34,March
2025-2026,2026,PETROLEUM CRUDE & PRODUCTS,185779.29,173941.9,-6.37,22.44,March
2025-2026,2026,OTHERS,7349.9,7742.46,5.34,1,March
