financial_year,report_year,group_name,previous_usd_mn,current_usd_mn,growth_pct,share_pct,report_month
2012-2013,2013,PLASTIC & RUBBER ARTICLES,11486.21,12510.97,8.92,2.55,March
2012-2013,2013,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,2228.19,2244.58,0.74,0.46,March
2012-2013,2013,PAPER & RELATED PRODUCTS,7389.98,7278.58,-1.51,1.48,March
2012-2013,2013,BASE METALS,26595.54,26731.81,0.51,5.45,March
2012-2013,2013,OPTICAL, MEDICAL & SURGICAL INSTRUMENTS,4113.29,4291.76,4.34,0.87,March
2012-2013,2013,ELECTORONICS ITEMS,34864.21,33548.65,-3.77,6.84,March
2012-2013,2013,MACHINERY,37950.68,35044.14,-7.66,7.14,March
2012-2013,2013,OFFICE EQUIPMENTS,98.82,100.81,2.01,0.02,March
2012-2013,2013,TRANSPORT EQUIPMENTS,14335.24,17663.42,23.22,3.6,March
2012-2013,2013,PROJECT GOODS,8764.59,6554.29,-25.22,1.34,March
2012-2013,2013,TEXTILES & ALLIED PRODUCTS,4736.69,4918.65,3.84,1,March
2012-2013,2013,PETROLEUM CRUDE & PRODUCTS,154967.55,164040.56,5.85,33.43,March
2012-2013,2013,OTHERS,9862.96,9520.58,-3.47,1.94,March
2013-2014,2014,PLANTATION,1038.41,1075.13,3.54,0.24,March
2013-2014,2014,AGRI & ALLIED PRODUCTS,16774.5,13492.25,-19.57,3,March
2013-2014,2014,MARINE PRODUCTS,83.05,67.65,-18.54,0.02,March
2013-2014,2014,ORES & MINERALS,26020.12,24603.63,-5.44,5.47,March
2013-2014,2014,LEATHER & LEATHER MANUFACTURES,819.53,901.49,10,0.2,March
2013-2014,2014,GEMS & JEWELLERY,83862.47,58436.49,-30.32,12.98,March
2013-2014,2014,SPORTS GOODS,240.48,203.05,-15.56,0.05,March
2013-2014,2014,CHEMICALS & RELATED PRODUCTS,37449.32,35645.21,-4.82,7.92,March
2013-2014,2014,PLASTIC & RUBBER ARTICLES,12510.97,12768.94,2.06,2.84,March
2013-2014,2014,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,2244.58,2047.01,-8.8,0.45,March
2013-2014,2014,PAPER & RELATED PRODUCTS,7278.58,7402.22,1.7,1.64,March
2013-2014,2014,BASE METALS,26731.81,21563.13,-19.34,4.79,March
2013-2014,2014,OPTICAL, MEDICAL & SURGICAL INSTRUMENTS,4291.76,4156.11,-3.16,0.92,March
2013-2014,2014,ELECTORONICS ITEMS,33548.65,33237.99,-0.93,7.38,March
2013-2014,2014,MACHINERY,35044.14,30249.17,-13.68,6.72,March
2013-2014,2014,OFFICE EQUIPMENTS,100.81,129.03,28,0.03,March
2013-2014,2014,TRANSPORT EQUIPMENTS,17663.42,16167.51,-8.47,3.59,March
2013-2014,2014,PROJECT GOODS,6554.29,4551.03,-30.56,1.01,March
2013-2014,2014,TEXTILES & ALLIED PRODUCTS,4918.65,4835.93,-1.68,1.07,March
2013-2014,2014,PETROLEUM CRUDE & PRODUCTS,164040.56,164764.69,0.44,36.6,March
2013-2014,2014,OTHERS,9520.58,13902.12,46.02,3.09,March
2014-2015,2015,PLANTATION,1075.13,1034.06,-3.82,0.23,March
2014-2015,2015,AGRI & ALLIED PRODUCTS,13492.25,19004.14,40.85,4.24,March
2014-2015,2015,MARINE PRODUCTS,67.65,73.93,9.28,0.02,March
2014-2015,2015,ORES & MINERALS,24603.63,26917.86,9.41,6.01,March
2014-2015,2015,LEATHER & LEATHER MANUFACTURES,901.49,1092.62,21.2,0.24,March
2014-2015,2015,GEMS & JEWELLERY,58436.49,62351.34,6.7,13.92,March
2014-2015,2015,SPORTS GOODS,203.05,201.29,-0.86,0.04,March
2014-2015,2015,CHEMICALS & RELATED PRODUCTS,35645.21,38553.65,8.16,8.61,March
2014-2015,2015,PLASTIC & RUBBER ARTICLES,12768.94,14326.69,12.2,3.2,March
