hscode,hsdesc,latest_export_usd_mn,growth_5yr_pct,cagr_pct,volatility_pct,momentum_score
1904,PRPD FOODS OBTND BY SWLNG/ROSTNG OF CRLS  PRDCTS (CORN FLKS) CRLS INTHE FORMOF GRAINFLKS ETC.EVCL.MAZEPRE COOKD/OTHRWSE,93.70,79.66,15.78,13.71,54.43
7206,IRON AND NON,175.60,73.50,14.77,31.18,54.39
3917,"TUBES, PIPES AND HOSES, AND FITTINGS      THEREFOR (FOR EXAMPLE, JOINTS, ELBOWS,    FLANGES), OF PLASTICS",313.43,8.36,2.03,8.05,54.19
2607,LEAD ORES AND CONCENTRATES,105.60,493296.23,738.11,248826.72,53.96
0710,"VEG COOKED OR NOT BY STMNG/BOILNG,FRZN",99.13,87.35,16.99,16.88,53.95
0405,BUTTER AND OTHER FATS AND OILS DERIVED    FROM MILK; DAIRY SPREADS,285.87,45.21,9.77,56.89,53.93
2829,CHLORATES AND PERCHLORATES; BROMATES AND  PERBROMATES; IODATES AND PERIODATES,75.15,109.24,20.27,14.42,53.77
7202,FERRO,2889.81,-20.53,-5.58,9.95,53.74
8302,"BASE METAL MOUNTINGS, FITTINGS AND SIMILAR ARTICLES SUITABLE FOR FURNITURE, DOORS,  STAIRCASES, WINDOWS, BLINDS, COACHWO",453.47,1.88,0.47,8.55,53.65
6302,"BED LINEN, TABLE LINEN, TOILET LINEN AND  KITCHEN LINEN",2006.64,-14.14,-3.74,11.77,53.63
7304,"TUBES, PIPES AND HOLLOW PROFILES,         SEAMLESS, OF IRON (OTHER THAN CAST IRON)  OR STEEL",530.31,23.80,5.48,41.97,53.49
9001,"OPTCL FIBR AND OPTCL FIBR BUNDLS ETC;SHTS AND PLTS OF POLRSNG MTRL;LNSS;PRSMS,MIRRORS   AND OTHR OPTCL ELMNTS OF ANY MTR",733.35,17.40,4.09,36.63,53.42
1504,"FATS AND OILS AND THEIR FRACTIONS, OF FISH OR MARINE MAMMALS, WHETHER OR NOT        REFINED, BUT NOT CHEMICALLY MODIFIED",100.49,3564.28,146.04,1871.95,53.35
3920,"OTHER PLATES, SHEETS, FILM, FOIL AND      STRIP, OF PLASTICS, NON",1274.60,-11.36,-2.97,10.42,53.31
1202,GROUND,690.93,9.80,2.36,17.48,53.26
6111,"BABIES GARMENTS AND CLOTHING ACCESSORIES, KNITTED OR CROCHETED",971.03,-7.17,-1.84,10.50,53.26
9701,"PNTG DRNG AND PASTEL BY HAND,EXCL DRNG OF HDG 4906 AND EXCL HNDPRNT/HND DCRT  MNFTD  ARTCL COLLAGE, MOSAIC AND SMLR DCOR",134.74,121.07,21.94,91.77,53.26
0806,"GRAPES, FRESH OR DRIED",397.51,20.04,4.67,19.35,53.08
