hscode,hsdesc,latest_import_usd_mn,growth_5yr_pct,export_offset_usd_mn,export_coverage_pct,dependence_score
9804,DUTIABLE IMPORT BY POST OR AIR FOR PERSONA,63.35,-42.25,1.55,2.45,22.71
2833,SULPHATES; ALUMS; PEROXOSULPHATES (       PERSULPHATES),61.68,38.65,161.76,262.26,22.61
2823,TITANIUM OXIDES,63.95,29.07,81.18,126.94,22.51
0902,TEA,74.97,33.70,898.82,1198.94,22.08
6809,ARTCLS OF PLASTER OR OF ITS COMPOSITIONS,51.75,7.15,12.48,24.12,22.05
9029,"REVOLUTION COUNTERS, PRODUCTION COUNTERS, TAXIMETERS, MILEOMETERS, PEDOMETERS AND   THE LIKE; SPEED INDICATORS AND TACHO",57.39,11.00,27.48,47.89,21.92
4819,"CARTONS, BOXES, CASES, BAGS AND OTHER     PACKING CONTAINERS, OF PAPER, PAPERBOARD, CELLULOSE WADDING OR WEBS OF CELLULO",106.56,5.04,353.35,331.59,21.70
8701,TRACTORS (OTHER THAN TRACTORS OF HEADING  8709),73.45,33.88,1269.51,1728.42,21.59
6309,WORN CLOTHING AND OTHER WORN ARTICLES,84.93,3.62,83.10,97.84,21.45
9606,"BUTN,PRS",73.10,-5.99,27.97,38.26,21.37
6802,WRKD MONMNT/BLDG STONE (EXCPT SLATE)ETC   EXCPT HDG 6801 MOSAIC CUBES ARTFCLY COLRD GRNLS ETC OF NATRL STONE (INCL SLATE,61.18,43.19,1170.11,1912.71,21.21
1404,VEG PRODUCTS N.E.S. OR INCLUDED,51.76,27.87,43.45,83.94,21.17
6304,"OTHER FURNISHING ARTICLES, EXCLUDING THOSE OF HEADING 9404",81.00,26.42,1751.61,2162.36,20.98
7315,"CHAIN AND PARTS THEREOF, OF IRON OR STEEL",79.64,4.95,73.94,92.85,20.84
2923,"QUATERNARY AMMONIUM SALTS AND HYDROXIDES; LECITHINS AND OTHER PHOSPHOAMINOLIPIDS,   WHETHER OR NOT CHEMICALLY DEFINED",90.88,5.39,198.46,218.37,20.58
4911,"OTHER PRINTED MATTER, INCLUDING PRINTED   PICTURES AND PHOTOGRAPHS",90.20,-29.12,53.60,59.43,20.18
2904,"SULPHONATED, NITRATED OR NITROSATED       DERIVATIVES OF HYDROCARBONS, WHETHER OR   NOT HALOGENATED",104.67,-33.27,92.22,88.11,20.15
2938,"GLYCOSIDES, NATURAL OR REPRODUCED BY      SYNTHESIS AND THEIR SALTS, ETHERS, ESTERS AND OTHER DERIVATIVES",69.24,10.24,77.43,111.83,19.59
4418,"BUILDERS JOINERY AND CARPENTRY OF WOOD,  INCLUDING CELLULAR WOOD PANELS, ASSEMBLED FLOORING PANELS, SHINGLES AND SHAKES",50.01,5.37,15.61,31.22,19.49
3005,"WADDING, GAUZE, BANDAGES AND SIMILAR      ARTICLES (FOR EXAMPLE, DRESSINGS, ADHESIVE PLASTERS, POULTICES), IMPREGNATED O",52.76,30.38,79.11,149.94,19.44
6903,"OTHR RFRCTRY CERAMIC GDS(RETORTS,CRCBLS ,MUFFLES,NOZZLES,PLUGS,TUBES,SHEATHS, RODS AND SLIDGE GATES), EXCL SILICUS FOSSILS",82.84,2.89,110.59,133.50,19.02
3003,MEDICAMENTS (EXCL GOODS HDG NO 3002 3005  OR 3006) CNSISTNC OF TWO/MORE CONSTUNTS   MXD TOGETHER FOR HMN MEDCNE NT FR RT,113.77,-16.42,360.30,316.70,18.99
8204,HND OPRTED SPANERS AND WRENCHS(INCLD TORQUE METER WRENCHS BUT NT TAP WRENCHS);INTER   CHANGBLE SPANER SOCKETS WTH HANDLE,50.35,40.14,164.53,326.81,18.93
7209,"FLT RLLD PRDCTS OF WDTH>= 600MM,COLD",126.99,-49.58,258.97,203.93,18.69
7323,"TABLE KITCHN OR OTHR DOMESTIC ARTCLS AND    ITSPARTS OF IRN/STL;IRN OR STL WOOL;      SCOURERS OR POLISHNG PADS,GLOVS AN",69.35,23.60,528.08,761.52,18.30
5515,OTHER WOVEN FABRICS OF SYNTHETIC STAPLE   FIBRES,60.70,29.28,415.35,684.31,18.05
7217,WIRE OF IRON OR NON,84.42,-42.39,59.76,70.78,16.81
2106,OTHR FOOD PREPRNS N.E.S.,118.48,-31.82,957.97,808.54,16.56
5310,WOVEN FABRICS OF JUTE OR OF OTHER TEXTILE BASE FIBRES OF HEADING 5303,72.49,-10.72,78.05,107.67,15.22
2306,OIL,111.97,-46.79,454.30,405.73,15.07
2920,ESTRS OF OTHR INORGNC ACIDS(EXCL ESTRS OF HYDRGN HALIDES)AND THR SLTS THR HALGNTD     SLPHNTD NITRTD/NITRSTD DRVTVS,85.30,-46.35,91.21,106.93,14.64
6103,"MENS OR BOYS SUITS,ENSEMBLES,JACKETS,BLAZERS,TROUSERS,BIBANDBRACE OVERALLS,BREECHES AND SHORTS(OTH THAN SWIMWEAR)",63.16,9.42,410.35,649.73,13.92
2940,SUGRS CHMCLY PURE OTHR THN SUCROSE LACTOSEMALTOSE ETC SUGR ETHRS AND SUGRESTRS AND THR  SLTS BESIDES HDG NO. 2937 2938 O,62.05,-32.61,37.60,60.60,13.65
2827,"CHLRDES,CHLRDE OXIDES AND CHLRDE HYDROXIDES;BRMDES AND BRMDE OXDS;IODIDS AND IODIDE OXIDES",75.21,-2.61,340.80,453.10,13.17
6305,"SACKS AND BAGS, OF A KIND USED FOR THE    PACKING OF GOODS",56.50,16.02,1287.58,2278.81,12.98
4412,"PLYWOOD, VENEERED PANELS AND SIMILAR      LAMINATED WOOD",63.78,-38.51,43.21,67.75,12.91
6910,CERMC SINKS WASH BASINS AND SMLR SNTRY FXTRS,80.83,-31.07,177.92,220.12,12.43
2508,OTHR CLAYS (EXCLDNG HDNG NO 6806) ANDLSTE KYANITE AND SILLIMANITE W/N CALCIND MULLITE CHAMOTTE OR DINAS EARTHS,60.04,3.56,164.56,274.10,12.41
6307,"OTHER MADE UP ARTICLES, INCLUDING DRESS   PATTERNS",84.78,-26.39,461.95,544.89,12.13
1514,"RAPE COLZA/MUSTARD OIL AND ITS FRACTNS      W/N REFINED, BUT NOT CHEMICLLY MODIFIED",52.67,-30.33,27.99,53.15,12.02
8472,"OTHER OFFICE MACHINES (FOR EXAMPLE,       HECTOGRAPH OR STENCIL DUPLICATING         MACHINES, ADDRESSING MACHINES, AUTOM",59.47,5.71,394.75,663.76,11.74
0909,"SEEDS OF ANISE, BADIAN, FENNEL, CORIANDER, CUMIN OR CARAWAY; JUNIPER BERRIES",90.18,-33.62,651.57,722.54,11.67
6402,OTHER FOOTWEAR WITH OUTER SOLES AND UPPERS OF RUBBER OR PLASTICS,87.75,-52.60,245.24,279.47,11.52
6914,OTHER CERAMIC ARTICLES,50.11,-46.45,21.10,42.10,11.31
8307,FLXBL TUBNG OF BSE METL WTH/WTHOUT FTNGS,73.47,-35.42,113.78,154.87,11.31
7325,OTHER CAST ARTICLES OF IRON OR STEEL,80.53,-17.18,1249.84,1552.08,11.01
7311,"CONTAINERS FOR COMPRESSED OR LIQUEFIED    GAS, OF IRON OR STEEL",76.67,-36.37,174.06,227.03,11.01
3307,SHAVING/PRE AND AFTER SHAVE PRPNS BATH PRPN DEPILATRS AND OTHR PERFMRY COSMTC/TOILT PRPNPRPN NES;PRPD ROOM DEODORISERS W,56.81,3.11,336.67,592.64,10.08
7310,"TANKS,DRUMS ETC AND SMLR CONTNRS FOR        MATERLS(OTHR THN CMPRSD/LQFD  GAS)",60.41,-32.17,96.40,159.58,8.58
2614,TITANIUM ORES AND CONCENTRATES,50.40,-29.17,52.67,104.51,8.13
9306,"PARTS AND ACCESSORIES OF OTER FIREARMS OF WAR AND PRTS THROF; CARTRDGSANDOTHR AMNTNS AND PRJCTLS AND PRTS,INCL SHOT AND",69.60,-39.23,683.48,981.99,6.64
3001,"GLANDS AND OTHER ORGANS FOR               ORGANOTHERAPEUTIC USES, DRIED,WHETHER OR  NOT POWDERED; EXTRACTS OF GLANDS OR",67.52,-51.40,236.63,350.47,6.38
2815,SODIUM HYDROXIDE (CAUSTIC SODA); POTASSIUM HYDROXIDE (CAUSTIC POTASH); PEROXIDES OF SODIUM OR POTASSIUM,57.37,-51.91,335.94,585.59,3.74
