hscode,hsdesc,latest_import_usd_mn,growth_5yr_pct,export_offset_usd_mn,export_coverage_pct,dependence_score
9012,MICROSCOPES OTHER THAN OPTICAL            MICROSCOPES; DIFFRACTION APPARATUS,55.26,69.65,4.07,7.36,40.55
7002,"GLASS IN BALLS (OTHER THAN MICROSPHERES OF HEADING 7018), RODS OR TUBES, UNWORKED",174.74,-0.63,23.20,13.28,40.38
8530,"OTHE PARTS OF HDG 8525 TO 8528            EQPMNT FR RLWYS, TRMWYS,ROADWYS,WTRWYS ETC(OTHR THAN THOSE OF HDG NOS.8608)",98.76,43.95,32.37,32.77,40.28
2909,"ETHER PEROXIDES, ACETAL, HEMIACETAL PEROXIDES (W/N CHMCLY DFND)THR HALGNTD SLPHNTD  NITRATED/NITROSATED DRVTVS",315.87,8.19,584.22,184.95,40.25
0908,"NUTMEG, MACE AND CARDAMOMS",152.00,56.54,480.21,315.92,40.00
1513,"COCONUT (COPRA), PALM KERNEL OR BABASSU   OIL AND FRACTIONS THEREOF, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED",187.31,8.22,85.83,45.82,39.90
3305,PREPARATIONS FOR USE ON THE HAIR,118.26,68.24,209.99,177.57,39.88
2530,MINERAL SUBSTANCES NOT ELSEWHERE SPECIFIED OR INCLUDED,94.02,41.03,26.89,28.60,39.85
0602,"OTHER LIVE PLANTS (INCLUDING THEIR ROOTS), CUTTINGS AND SLIPS; MUSHROOM SPAWN",65.31,129.89,34.11,52.23,39.74
8464,MCHN,188.65,-38.06,9.94,5.27,39.52
8105,"COBLT MATTS AND OTHR INTRMDT PRDCTS OF COBLTMETTLRGY,COBLT AND ARTCLS INCL WSTE AND SCRP",112.10,43.07,63.51,56.65,39.47
8445,"MCHNS FR PRPRNG TXTL FBRS;SPNG,TWSTNG ETC MCHNRY FR PRDCNG TXTL YRNS;MCHNS FR PRPRNGTXTL YRNS FR USE ON MCHNS OF 8446/84",286.92,-22.84,136.59,47.61,39.36
6006,OTHER KNITTED OR CROCHETED FABRICS,348.55,-13.54,327.68,94.01,39.29
2910,"EPOXIDES, EPOXYALCOHOLS, EPOXYPHENOLS AND EXPOXYETHERS, WITH A THREE",190.60,-17.38,30.85,16.19,39.21
6110,"JERSEYS, PULLOVERS, CARDIGANS, WAISTCOATS AND SIMILAR ARTICLES, KNITTED OR CROCHETED",148.36,48.43,430.21,289.98,38.96
3504,"PEPTONES AND THEIR DERIVATIVES; OTHER     PROTEIN SUBSTANCES AND THEIR DERIVATIVES, NOT ELSEWHERE SPECIFIED OR INCLUDED;",98.12,47.20,50.33,51.29,38.96
1401,"VEG MATRLS USED PRIMARILY AS PLAITNG (E.G.BAMBOOS RATTANS REEDS RUSHES OSIER ETC    CLND BLCD/DYD CEREAL STRAW,AND LIME",80.68,24.32,0.93,1.15,38.83
9015,"SURVEYING,HYDROGRAPHIC,OCEANOGRAPHIC,     HYDROLOGICAL,METEOROLOGICAL/GEOPHYSICAL   INSTRMNTS AND APPLNCS,EXCL COMPSS;RN",199.61,-2.36,73.92,37.03,38.78
6203,"MENS OR BOYS SUITS,ENSEMBLES,JACKETS BLAZERS,TROUSERS,BIB AND BRACE OVERALLS BREECHES AND SHORTS(OTHER THAN SWIMWEAR)",270.25,16.67,1112.67,411.72,38.56
3821,PRPD CULTR MEDIA FR MICRO,169.60,-4.13,31.30,18.46,38.41
2620,ASH AND RESIDUES EXCL FROM MNFR OF IRON OR  STEEL CONTNG ARSENIC MTLS/MTLIC COMPOUNDS,146.62,0.30,20.36,13.88,38.18
8484,"GASKETS AND SMLR JOINTS OF MTL SHTNG CMBND  WTH OTHR MTRL;SETS/ASSRTMNTS OF GSKTS AND   SMLR JOINTS,PUT UP IN POUCHES,EN",180.00,21.81,194.75,108.19,38.08
7604,"ALUMINIUM BARS, RODS AND PROFILES",196.71,3.89,119.73,60.87,38.03
5503,"SYNTHETIC STAPLE FIBRES, NOT CARDED,      COMBED OR OTHERWISE PROCESSED FOR SPINNING",214.00,7.03,214.72,100.33,37.75
1905,"BREAD, PASTRY, CAKES, BISCUITS AND OTHER  BAKERS WARES, WHETHER OR NOT CONTAINING  COCOA; COMMUNION WAFERS, EMPTY CACHE",136.77,57.07,685.90,501.49,37.24
7214,OTHER BARS AND RODS OF IRON OR NON,68.12,224.93,91.27,133.98,37.09
0904,PEPPER OF THE GENUS PIPER; DRIED OR       CRUSHED OR GROUND FRUITS OF THE GENUS     CAPSICUM OR OF THE GENUS PIMENTA PEP,233.52,17.31,1233.65,528.29,37.04
7201,"PIG IRON AND SPIEGELEISEN IN PIGS, BLOCKS OR OTHER PRIMARY FORMS",71.17,732.99,226.01,317.54,36.88
6104,"WOMENS OR GIRLS SUITS, ENSEMBLES,       JACKETS, BLAZERS, DRESSES, SKIRTS, DIVIDED SKIRTS, TROUSERS, BIB AND BRACE OVE",113.13,67.96,619.77,547.85,36.83
7010,"CARBOYS,BOTLS,FLSKS,JARS ETC FOR CNVYANCE OR PCKNG OF GOODS; PRSRVNG JARS OF GLASS; STOPERS,LIDS AND OTHR CLOSRS  OF GLA",138.58,46.92,463.56,334.52,36.71
8110,"ANTIMONY AND ARTICLES THEREOF, INCLUDING  WASTE AND SCRAP",56.20,320.16,53.22,94.71,36.71
2924,CRBOXYAMIDE,318.21,-0.62,853.67,268.27,36.68
6404,FTWEAR WTH OUTR SOLES OF RUBR,256.98,-6.90,237.95,92.60,36.51
9406,PREFABRICATED BUILDINGS,66.31,202.06,94.93,143.16,36.15
8453,"MCHNRY FR PREPARING,TANG/WRKNG HIDES,     SKINS/LTHR/FR MKNG/REPAIRNG FOOTWEAR/OTHR ARTCLS OF HIDES,SKINS ETC EXCL SEWNG",93.15,5.21,1.43,1.53,36.00
9023,"INSTRMNTS,APRTS P MODLS DSIGND FOR        DEMONSTRATIONAL PRPS,UNSUTBL FR OTHR USES",81.54,50.33,47.19,57.87,35.90
2850,"HYDRIDES, NITRIDES, AZIDES, SILICIDES AND BORIDES, WHETHER OR NOT CHEMICALLY        DEFINED, OTHER THAN COMPOUNDS WHICH",88.40,12.55,7.35,8.31,35.74
5603,"NONWOVENS, WHETHER OR NOT IMPREGNATED,    COATED, COVERED OR LAMINATED",231.81,-7.90,195.63,84.39,35.74
1518,"ANML,VEG/MICROB FAT,OIL,FRCN EXCL1516;INEDIBLE MXTR/PRPN_ANML,VEG/MICROB FAT/OIL/FRCTN OF DIFF FAT/OIL,NT ELS WHR SPECFD",54.01,694.74,64.00,118.51,35.70
9025,"HYDROMETERS AND SMLR FLOATING INSTRUMENTS,  THERMOMETERS,PYROMETERS ETC,RCORDNG/NT AND  ANY CMBNTN OF THESE INSTRMNTS",134.08,16.60,73.32,54.68,35.55
6813,FRICTION MATRL AND ARTCLS NT MOUNTD FOR     BRAKES ETC WTH A BASIS OF ASBSTS/         CELLULOSEETC W/N CMBND WTH TXTL/OT,74.36,84.10,89.46,120.31,35.44
7212,FLT,98.48,19.44,24.85,25.23,35.34
2841,SALTS OF OXOMETALLIC OR PEROXOMETALLIC    ACIDS,67.56,124.67,88.08,130.37,35.27
8102,"MOLYBDENUM AND ARTICLES THEREOF, INCLUDING WASTE AND SCRAP",53.30,62.00,13.13,24.64,35.07
3922,"BATHS, SHOWER",106.71,8.13,18.94,17.75,35.04
5902,"TYRE CORD FABRIC OF HIGH TENACITY YARN OF NYLON OR OTHER POLYAMIDES, POLYESTERS OR  VISCOSE RAYON",189.27,-46.82,44.77,23.65,34.93
3801,ARTFCL GRPHT,141.49,29.70,214.99,151.95,34.88
9402,"MEDCL,SURGCL,DENTAL/VETRNRY FURNITR ETC   BARBERS CHAIRS AND SMLR CHAIRS;PRTS OF     THE FOREGOING ARTICLES",83.14,29.76,21.68,26.08,34.78
3505,"DEXTRINS AND OTHER MODIFIED STARCHES (FOR EXAMPLE, PREGELATINISED OR ESTERIFIED     STARCHES); GLUES BASED ON STARCHES,",101.87,32.68,64.86,63.67,34.66
5208,WOVN FBRCS OF COTON CONTNG>=85% BY WT OF  COTON WEGHNG NT MORE THN 200 G/M2,122.27,50.42,1246.89,1019.75,34.61
8470,CALCULTNG AND POCKT,131.63,-32.10,5.17,3.93,34.55
2942,OTHER ORGANIC COMPOUNDS,370.46,-26.24,1244.85,336.02,34.53
